Item,Price ($),Calories (kcal),Total Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Sugars (g),Protein (g)
Egg McMuffin,4.48,300,13,260,750,31,3,17
Egg White Delight,3.9,250,8,25,770,30,3,18
Sausage McMuffin,2.09,370,23,45,780,29,2,14
Sausage McMuffin with Egg,3.76,450,28,285,860,30,2,21
Sausage McMuffin with Egg Whites,3.76,400,23,50,880,30,2,21
Steak & Egg McMuffin,3.99,430,23,300,960,31,3,26
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",4.61,460,26,250,1300,38,3,19
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.2,520,30,250,1410,43,4,19
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",4.61,410,20,35,1300,36,3,20
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.2,470,25,35,1420,42,4,20
Sausage Biscuit (Regular Biscuit),2.01,430,27,30,1080,34,2,11
Sausage Biscuit (Large Biscuit),3.9,480,31,30,1190,39,3,11
Sausage Biscuit with Egg (Regular Biscuit),4.22,510,33,250,1170,36,2,18
Sausage Biscuit with Egg (Large Biscuit),5.4,570,37,250,1280,42,3,18
Sausage Biscuit with Egg Whites (Regular Biscuit),4.22,460,27,35,1180,34,3,18
Sausage Biscuit with Egg Whites (Large Biscuit),5.4,520,32,35,1290,40,3,18
Southern Style Chicken Biscuit (Regular Biscuit),4.22,410,20,30,1180,41,3,17
Southern Style Chicken Biscuit (Large Biscuit),5.4,470,24,30,1290,46,4,17
"Bacon, Egg & Cheese McGriddles",4.64,460,21,250,1250,48,15,19
"Bacon, Egg & Cheese McGriddles with Egg Whites",4.64,400,15,35,1250,47,16,20
Sausage McGriddles,3.21,420,22,35,1030,44,15,11
"Sausage, Egg & Cheese McGriddles",4.63,550,31,265,1320,48,15,20
"Sausage, Egg & Cheese McGriddles with Egg Whites",4.63,500,26,50,1320,46,15,21
"Bacon, Egg & Cheese Bagel",4.81,620,31,275,1480,57,7,30
"Bacon, Egg & Cheese Bagel with Egg Whites",4.81,570,25,60,1480,55,8,30
"Steak, Egg & Cheese Bagel",5.51,670,35,295,1510,56,7,33
Big Breakfast (Regular Biscuit),5.32,740,48,555,1560,51,3,28
Big Breakfast with Hotcakes (Regular Biscuit),6.69,1090,56,575,2150,111,17,36
Hotcakes,4.2,350,9,20,590,60,14,8
Hotcakes and Sausage,4.88,520,24,50,930,61,14,15
Sausage Burrito,6.98,300,16,115,790,26,2,12
Hash Brown,1.6,150,9,0,310,15,0,1
Cinnamon Melts,1.8,460,19,15,370,66,32,6
Fruit & Maple Oatmeal,3.66,290,4,5,160,58,32,5
Fruit & Maple Oatmeal without Brown Sugar,3.66,260,4,5,115,49,18,5
Big Mac,5.53,530,27,85,960,47,9,24
Quarter Pounder with Cheese,5.65,520,26,95,1100,41,10,30
Quarter Pounder with Bacon & Cheese,6.3,600,29,105,1440,48,12,37
Quarter Pounder with Bacon Habanero Ranch,8.61,610,31,105,1180,46,10,37
Quarter Pounder Deluxe,9.61,540,27,85,960,45,9,29
Double Quarter Pounder with Cheese,11.12,750,43,160,1280,42,10,48
Hamburger,1.62,240,8,30,480,32,6,12
Cheeseburger,1.88,290,11,45,680,33,7,15
Double Cheeseburger,5.99,430,21,90,1040,35,7,24
Bacon Clubhouse Burger,6.99,720,40,115,1470,51,14,39
McDouble,2.6,380,17,75,840,34,7,22
Bacon McDouble,3.37,440,22,90,1110,35,7,27
Daily Double,3.34,430,22,80,760,34,7,22
Jalapeño Double,4.34,430,23,80,1030,35,6,22
McRib,4.5,500,26,70,980,44,11,22
Premium Crispy Chicken Classic Sandwich,5.17,510,22,45,990,55,10,24
Premium Grilled Chicken Classic Sandwich,5.17,350,9,65,820,42,8,28
Premium Crispy Chicken Club Sandwich,5.17,670,33,85,1410,58,11,36
Premium Grilled Chicken Club Sandwich,5.17,510,20,105,1250,44,9,40
Premium Crispy Chicken Ranch BLT Sandwich,6.14,610,28,70,1400,57,11,32
Premium Grilled Chicken Ranch BLT Sandwich,6.14,450,15,90,1230,43,9,36
Bacon Clubhouse Crispy Chicken Sandwich,7.14,750,38,90,1720,65,16,36
Bacon Clubhouse Grilled Chicken Sandwich,7.14,590,25,110,1560,51,14,40
Southern Style Crispy Chicken Sandwich,6.78,430,19,45,910,43,7,21
McChicken,2.08,360,16,35,800,40,5,14
Bacon Cheddar McChicken,3.18,480,24,65,1260,43,6,22
Bacon Buffalo Ranch McChicken,3.77,430,21,50,1260,41,6,20
Buffalo Ranch McChicken,2.98,360,16,35,990,40,5,14
Chicken McNuggets (4 piece),2.64,190,12,25,360,12,0,9
Chicken McNuggets (6 piece),3.62,280,18,40,540,18,0,13
Chicken McNuggets (10 piece),6.72,470,30,65,900,30,0,22
Chicken McNuggets (20 piece),6.99,940,59,135,1800,59,0,44
Chicken McNuggets (40 piece),13.35,1880,118,265,3600,118,1,87
Filet-O-Fish,4.98,390,19,40,590,39,5,15
Premium Bacon Ranch Salad (without Chicken),5.13,140,7,25,300,10,4,9
Premium Bacon Ranch Salad with Crispy Chicken,6.45,380,21,70,860,22,5,25
Premium Bacon Ranch Salad with Grilled Chicken,6.46,220,8,85,690,8,4,29
Premium Southwest Salad (without Chicken),5.19,140,4.5,10,150,20,6,6
Premium Southwest Salad with Crispy Chicken,6.47,450,22,50,850,42,12,23
Premium Southwest Salad with Grilled Chicken,6.89,290,8,70,680,28,10,27
Chipotle BBQ Snack Wrap (Crispy Chicken),2.39,340,15,30,780,37,8,14
Chipotle BBQ Snack Wrap (Grilled Chicken),2.43,260,8,40,700,30,7,16
Honey Mustard Snack Wrap (Crispy Chicken),2.39,330,15,35,730,34,3,14
Honey Mustard Snack Wrap (Grilled Chicken),2.43,250,8,45,650,27,2,16
